gameId,gameDuration,team,champion,wins,kills,deaths,assists,longestTimeSpentLiving,largestKillingSpree,largestMultiKill,killingSprees,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,damageDealtToTurrets,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,totalMinionsKilled,turretKills,inhibitorKills
5255930972,1307,blue,Seraphine,False,3,10,22,192,0,1,0,0,0,0,0,0,33872,29570,4194,108,0,13380,12221,1079,79,3443,267,53,20658,16416,2612,1630,12411,9450,25,0,0
5255770432,884,blue,Sett,False,3,8,11,290,2,1,1,0,0,0,0,0,25419,633,18301,6484,0,14655,633,8638,5383,710,0,21,23668,5389,17340,939,8615,7875,13,0,0
5255817603,1154,red,Kayn,True,10,10,22,143,2,2,2,1,0,0,0,0,46032,368,44899,764,0,27895,268,27077,549,13386,596,35,38824,24760,10590,3472,12640,11700,15,0,0
5255727456,1126,red,MonkeyKing,False,9,11,25,128,2,2,2,1,0,0,0,0,62613,9003,52370,1240,0,30345,5326,24038,980,7089,385,29,33470,7807,22270,3392,13311,11600,50,0,0
5255735098,913,blue,Singed,True,8,5,19,263,3,3,3,1,1,0,0,0,38576,36941,810,825,0,15965,14709,486,770,2292,235,24,15394,8299,5730,1364,11147,10295,39,1,0
5255750914,1230,red,Brand,False,5,11,6,298,0,1,0,0,0,0,0,0,38160,35903,2256,0,0,14676,14544,132,0,1415,0,6,20993,10455,10186,352,11453,10700,26,0,0
5255627261,1361,blue,Rumble,False,12,7,23,360,4,2,3,1,0,0,0,0,74859,71752,1456,1651,0,42144,39959,533,1651,3541,1018,19,22032,14103,6888,1040,16022,13600,31,0,1
5235985269,1357,red,Shen,True,4,10,41,185,0,1,0,0,0,0,0,0,42556,28737,12194,1625,24,15544,7725,6433,1385,3911,539,41,38339,26388,10606,1344,14526,13800,31,0,0
5235954321,1098,red,Alistar,True,6,6,48,197,2,2,2,1,0,0,0,0,35468,30467,3716,1285,18,15943,13231,1536,1175,20690,603,55,33906,15685,13960,4260,13862,12600,22,1,0
5228754999,1075,blue,Janna,True,2,6,25,306,0,1,0,0,0,0,0,0,41367,40178,1189,0,0,10825,10616,209,0,4249,1228,55,11277,7168,3290,817,11070,10250,20,1,0
5228763666,1094,blue,Hecarim,False,2,9,19,261,0,1,0,0,0,0,0,0,24458,12084,11070,1303,0,11588,4300,6114,1173,3773,22,27,23399,12133,10243,1023,9959,9700,14,0,0
5228723298,1306,red,Lillia,False,12,15,25,110,4,4,4,3,1,1,0,0,77094,54785,2395,19913,0,37280,26879,676,9724,1797,245,29,30908,26277,4020,610,15269,14935,43,0,0
5228660391,1328,blue,Kled,False,10,13,27,158,3,2,2,1,0,0,0,0,69833,1191,63708,4933,13,34085,394,31902,1788,9726,1346,5,56655,28425,25330,2898,14417,13650,27,1,0
5228638977,1118,red,Janna,False,3,6,20,350,2,2,1,1,0,0,0,0,50122,49412,710,0,0,16405,16170,235,0,6273,186,78,14193,7614,6190,388,10840,10500,27,0,0
5228646580,972,blue,Lillia,True,10,6,30,249,4,2,3,2,0,0,0,0,48459,32617,2302,13539,0,24470,17361,711,6397,1601,956,27,15860,6424,8563,872,12001,9200,40,0,0
5228661681,1601,blue,Rammus,True,3,13,39,292,0,1,0,0,0,0,0,0,37735,32018,4898,819,0,13958,10615,2574,769,3875,244,65,46359,31718,5722,8917,15673,14400,21,0,1
5228568874,1017,blue,Rakan,True,1,8,23,182,0,1,0,0,0,0,0,0,13903,10027,2866,1009,7,8397,6329,1213,854,1783,868,29,14796,3649,10995,151,10006,8250,5,1,0
5228497127,1695,red,MasterYi,True,15,14,10,167,4,3,4,4,1,0,0,0,62060,0,55742,6317,797,26920,0,21267,5653,4165,291,1,29612,21120,7778,713,18466,17200,37,0,1
5228463889,899,red,Rakan,True,3,4,35,227,2,1,1,0,0,0,0,0,19727,11979,4022,3725,0,10239,8173,1370,695,2327,734,47,16764,8234,7261,1268,10242,8300,10,1,0
5228329389,1476,red,Lux,False,7,12,39,202,2,2,1,1,0,0,0,0,64790,61230,3559,0,0,25462,24524,937,0,880,472,51,22578,13857,8540,180,15178,15750,40,0,0
5213315232,940,blue,Leona,True,2,5,26,286,2,1,1,0,0,0,0,0,25000,18921,5200,878,19,10344,7435,2064,843,3087,681,38,19780,6746,10765,2269,10255,8550,19,2,0
5213200764,1166,red,Senna,False,1,8,32,298,0,1,0,0,0,0,0,0,37176,1424,33382,2369,139,16345,829,14114,1402,6233,1052,40,17768,10318,5474,1974,11539,10050,18,0,0
5212843013,1610,blue,Janna,True,2,5,45,648,0,1,0,0,0,0,0,0,77366,75794,1362,210,0,17028,16500,401,126,15330,1661,76,15480,12212,2746,522,16295,13850,50,0,0
5206043001,1884,red,MasterYi,False,23,14,17,236,5,5,8,6,2,1,1,0,106036,428,94939,10668,902,42678,77,33130,9470,13644,611,1,43299,12603,25804,4892,22280,17500,62,0,0
5205980864,1397,blue,TwistedFate,False,6,10,26,276,3,2,2,1,0,0,0,0,78356,71645,6711,0,189,23463,22037,1426,0,5722,1363,37,23831,16396,6923,511,14122,13700,33,0,0
5205946111,1130,blue,Poppy,True,4,4,20,319,2,1,1,0,0,0,0,0,20476,7061,12930,485,18,8989,2140,6364,485,2835,1053,26,18490,4951,11294,2245,11541,9650,17,1,0
5185522631,1759,red,Velkoz,True,14,12,27,259,4,2,4,2,0,0,0,0,97573,86765,3592,7215,0,39633,34400,400,4832,2156,241,30,31221,16351,12666,2203,19486,19500,48,0,0
